# BEAST v1.10.0 Prerelease #VEME2017
# Generated Wed Aug 23 09:03:48 BST 2017 [seed=1503475403637]
# -beagle
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Americas)	age(root)	age(Americas)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-17610.39164561231	-237.68206613649096	-17372.70957947582	69.99361590370971	56.01974323773484	1939.0063840962903	1952.980256762265	1.0	2.0	2.0	2.0	0.2500000002	0.2500000001	0.2499999999	0.24999999979999998	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	-17372.70957947582	0.0	-85.02907299538676
10000	-7531.756473038478	-399.39016107824483	-7132.366311960233	129.236917011915	65.79727644384856	1879.763082988085	1943.2027235561513	65.7911790912174	11.543810653326387	4.816934534755993	10.27580179669698	0.23887694335181378	0.24828733161958713	0.24036523786732067	0.27247048716127886	0.15499684701443667	0.11650273891852646	1.2281965220272513	0.8742205490552516	0.9416628676402451	1.1841165833045029	0.005992534012523578	0.00599253401252358	-7132.366311960233	0.0	-363.99067683334454
20000	-6192.931616766341	-492.3833973416957	-5700.548219424645	460.33263488545936	138.44304659984599	1548.6673651145406	1870.556953400154	292.7942139706898	10.41651962305503	4.303475368279171	15.664096669925389	0.2507659385049204	0.22341480845475553	0.2674804019319699	0.25833885110835453	0.13714235625569085	0.10773939886306134	1.461947612375385	0.6349673145253901	0.8947109122266999	1.4703217732479108	0.0011502715706250813	0.0011502715706250808	-5700.548219424645	0.0	-458.59752449772225
30000	-5975.574357255443	-552.7317590938036	-5422.842598161639	689.1991343242619	233.12668889954057	1319.8008656757381	1775.8733111004594	696.7395714078884	10.582411220294516	4.158319962690852	13.654094726529935	0.2384784111340468	0.2500340912805506	0.2383595627117081	0.2731279348736951	0.22468546225455113	0.11382496332428374	2.807913361760946	0.34211412976329486	1.0358241025660462	1.6220617676706581	5.931608429635082E-4	5.931608429635082E-4	-5422.842598161639	0.0	-516.8147800726525
40000	-5984.69970897678	-566.77768427225	-5417.9220247045305	895.7963581621696	244.1736036880957	1113.2036418378304	1764.8263963119043	741.0182370900694	14.072927123268501	3.9698626578729925	13.374868708331048	0.24553222902304114	0.21245583480291036	0.28778691326047523	0.25422502291357385	0.2093832396546068	0.12121372295735093	1.5614005980697383	0.3150463994517022	0.9905996007944271	1.6943539997538688	4.221120676773829E-4	4.2211206767738273E-4	-5417.9220247045305	0.0	-533.5007167663061
50000	-5975.660833429353	-568.4188332305919	-5407.242000198761	845.0618465246218	231.2952790236559	1163.9381534753782	1777.704720976344	742.7979028977286	10.99946004206843	6.092583511156648	12.51403172496967	0.23609186838515883	0.25367324831610627	0.2394124965098861	0.27082238678884957	0.26287875688904194	0.11780215338815236	2.4938578247109144	0.2435916602289549	0.9775093315919712	1.7788990081790714	4.360372077165979E-4	4.360372077165978E-4	-5407.242000198761	0.0	-533.474868319336
60000	-5986.976604464552	-582.5894195354333	-5404.387184929119	1129.0532129816918	275.9849808927309	879.9467870183082	1733.0150191072692	815.6730233353808	8.878334510536636	15.079801461036636	13.608397300591191	0.2529364054244638	0.2444721857308816	0.2514065070845995	0.25118490176005576	0.20740068773696962	0.11476017411695145	2.1694270941772777	0.32762625859431727	0.9113881622746978	1.7609855791309819	3.8818943090836893E-4	3.8818943090836904E-4	-5404.387184929119	0.0	-546.6050331103434
70000	-6002.6176707646155	-607.1757109313918	-5395.441959833223	1426.9401312094656	358.9004536255372	582.0598687905344	1650.0995463744628	1361.6515821470932	9.051445785744022	5.397782797011729	12.244292964056806	0.2472229392049772	0.24121131107048538	0.2602219964525501	0.251343753271988	0.23473840804032947	0.13203556183546894	2.341317582893076	0.25639349236755266	0.8977998589208582	1.8458066487115854	2.7882510279502647E-4	2.788251027950264E-4	-5395.441959833223	0.0	-572.897129142828
80000	-6011.331069571595	-613.8245454578692	-5397.506524113726	1708.6744770318514	480.1329114221215	300.32552296814856	1528.8670885778786	1297.4224421621361	16.099318036238056	2.742580758291435	12.045975783238006	0.21838408789056843	0.2652958237791447	0.25942650615778073	0.25689358217250674	0.23757042644493523	0.1336002340181004	2.9700895432184278	0.2911706306316927	0.8374727081201703	1.8713566612481327	2.308086654726297E-4	2.3080866547262987E-4	-5397.506524113726	0.0	-578.3280523061532
90000	-6006.122917641904	-610.9888580921855	-5395.134059549719	1384.0517536969837	409.1159479340945	624.9482463030163	1599.8840520659055	1406.423478456209	6.967556016157009	7.755052784201764	15.357131104281557	0.25979604296451364	0.24342140819935867	0.23302348151485008	0.26375906732127796	0.23635446307525473	0.11642558755207329	2.222855930555767	0.2574229867462928	0.7513216649584886	1.9912553482952124	2.1673602564052592E-4	2.1673602564052598E-4	-5395.134059549719	0.0	-577.0844818751342
100000	-5975.882498287103	-610.9533624323119	-5364.929135854791	1370.4577515923575	418.34933494999603	638.5422484076425	1590.650665050004	1412.5335383246802	8.217231892053027	5.432999138818179	13.160118195893304	0.2579254358484965	0.23558162213495784	0.2570571978122	0.24943574420434617	0.2219581397108419	0.16896104413267313	2.4543395517823243	0.4122532400382138	0.478084692051463	2.1096620679103175	2.1272179219450617E-4	2.1272179219450612E-4	-5364.929135854791	0.0	-577.1010529527002
110000	-5963.484887879569	-606.3824797008399	-5357.102408178729	1338.991732762152	374.84527629165524	670.008267237848	1634.1547237083448	1306.7180495215891	11.327255203607024	5.001123861029954	12.440968402236232	0.24552833697510876	0.2495474882506487	0.25679828260548215	0.24812589216876063	0.287518316238748	0.11836673690676729	2.161392416684484	0.5296119396793574	0.20008925304348046	2.270298807277152	1.9897333242517294E-4	1.9897333242517286E-4	-5357.102408178729	0.0	-573.5707388696995
120000	-5974.684402864423	-625.6475463199756	-5349.036856544447	2014.5196733812734	449.998954163173	-5.519673381273378	1559.001045836827	1447.0981936038206	9.790403702854073	2.1963338958698966	11.526571000154636	0.25047979867376635	0.25891757389363174	0.2474454745182901	0.2431571529143122	0.2677579141444637	0.2148780271608553	2.1726331478702505	0.5425163633359318	0.08039645552285968	2.377087181141201	1.5679934406577522E-4	1.567993440657752E-4	-5349.036856544447	0.0	-594.9135394142729
130000	-5950.582682316926	-609.46050480783	-5341.122177509096	1551.7529839916638	430.3901358961329	457.24701600833623	1578.609864103867	1405.5106085299626	8.939451076988822	5.315510523994876	12.526173954645449	0.24586353712346903	0.22695491781639404	0.26590946902192814	0.26127207603820907	0.24328299287585045	0.033254119865053354	2.256571879277993	0.5900608779921679	0.07531462743508445	2.334624494572741	1.867721415370097E-4	1.8677214153700974E-4	-5341.122177509096	0.0	-577.8275738337134
140000	-5940.326284906901	-600.3489834034739	-5339.977301503427	1285.8792251538007	364.86677579723516	723.1207748461993	1644.1332242027647	1339.8692770392495	13.770893849170685	7.868221239689351	10.341278484050152	0.2337301260535206	0.23755280538130596	0.25574347336671777	0.2729735951984562	0.15007947585589312	0.19448371494666306	2.0354405490473275	0.5373142263396532	0.11076517817703978	2.3519205954833	2.2876925877306797E-4	2.2876925877306778E-4	-5339.977301503427	0.0	-567.4804201792922
150000	-5927.668682137676	-570.0988014531757	-5357.5698806845	966.8613523440882	258.8085965630211	1042.1386476559119	1750.1914034369788	492.72806911515084	14.885226165547492	3.3827371569307516	12.125648495745917	0.25322454029723945	0.25015592116860075	0.24437126426661618	0.2522482742675443	0.21542367484940111	0.06174005956584492	1.6419545782649445	0.5439484241306936	0.06611311623026754	2.389938459639033	3.013706924607033E-4	3.0137069246070344E-4	-5357.5698806845	0.0	-540.1384338845899
160000	-5916.557318058118	-578.3718053840023	-5338.185512674116	933.9026484100721	340.6935110032058	1075.097351589928	1668.306488996794	788.3481126243094	10.711843130865368	5.169511931515521	11.59501192515513	0.246976371647063	0.24451288217858508	0.24601355140848613	0.26249719476586636	0.28653111905080914	0.0805774073730829	2.753732017758164	0.44660038370417976	0.09788744866412466	2.455512167631687	2.5877151679067994E-4	2.5877151679068016E-4	-5338.185512674116	0.0	-545.7643522094115
170000	-5939.675430652101	-597.0464814438363	-5342.628949208264	1361.1769689178154	388.15414652830634	647.8230310821846	1620.8458534716938	1202.8057998022016	7.425184147127911	5.402185986932552	12.875066344685765	0.24684277390398388	0.2258257958209093	0.27144565673314125	0.25588577354196623	0.28338895081370025	0.23628987245518676	2.145762815129558	0.3903687720962933	0.08677820601374853	2.522853021889954	2.29656092008169E-4	2.2965609200816894E-4	-5342.628949208264	0.0	-565.4768342103239
180000	-5934.245392565865	-590.165922077998	-5344.079470487866	1187.4665843677642	315.0582793969529	821.5334156322358	1693.941720603047	1326.5124812746867	7.270307265986298	8.039741798183009	11.693244615422792	0.251683168884188	0.24929675168200613	0.23771903578524678	0.26130104364855933	0.20145865329016732	0.2994674434463998	2.24848101345616	0.3777453235158276	0.07170451802168896	2.5505501584624795	2.3588127155101495E-4	2.3588127155101487E-4	-5344.079470487866	0.0	-558.2152336862856
190000	-5934.451739463013	-592.7760677100327	-5341.67567175298	1200.423505431701	320.2570062609213	808.576494568299	1688.7429937390787	934.3683591411796	7.7745733251923985	9.293907455855374	11.492976660047425	0.25537656821130467	0.25105063167141584	0.2285963417620215	0.2649764583552584	0.2208088635735964	0.2082100028000855	1.9555744717388333	0.39794273868692304	0.12997459752468293	2.4720826637883917	2.3253593745754196E-4	2.3253593745754204E-4	-5341.67567175298	0.0	-560.9482475937104
200000	-5932.170506214425	-587.7482832799426	-5344.422222934482	1124.8203939193234	332.60486502757817	884.1796060806766	1676.3951349724218	1187.657467150128	9.286240158595055	3.732775771787875	13.222681810114555	0.2499350228681647	0.24834086331419225	0.25695092744092357	0.24477318637671994	0.19600937397681203	0.28333816571116965	1.6657839867340785	0.39656747163805023	0.11413420007619582	2.489298328285753	2.2797159017120806E-4	2.27971590171208E-4	-5344.422222934482	0.0	-557.1500859980197
210000	-5966.213201380395	-594.693118146126	-5371.520083234269	1157.35028225731	429.77329341300396	851.64971774269	1579.226706586996	1097.8662590664724	6.701333907771546	5.08088334659283	11.626923509484278	0.2491512920605219	0.2462718782761982	0.26309482955551133	0.2414820001077691	0.21560610084158882	0.7771107041847931	1.347743909439121	0.3285733247455493	0.07618866712297684	2.595238008131472	2.3773639403305142E-4	2.3773639403305136E-4	-5371.520083234269	0.0	-564.5545416756061
220000	-5944.1470326359995	-593.1351796297055	-5351.011853006294	1155.821090245655	362.4949453381423	853.1789097543451	1646.5050546618577	1342.0553607430797	12.175989607900954	7.769159610039653	10.47351114474437	0.24452051278107506	0.23170453735974042	0.2707616457135532	0.2530133041456318	0.20985311553215164	0.31061006818563036	1.7755470589682552	0.30924903498431927	0.12664475113591558	2.5641062138797643	2.3742441599377924E-4	2.3742441599377921E-4	-5351.011853006294	0.0	-561.0134874701935
230000	-5930.81893685933	-579.7697152896222	-5351.049221569708	882.2777634172129	330.0931103606812	1126.722236582787	1678.9068896393187	801.5339286817111	7.687229694952248	3.9803424578327453	12.882001983849925	0.250742359023366	0.23418947776870264	0.25495141833622476	0.26011674487170705	0.216990090597949	0.2399685810056514	2.3983774074377617	0.28837849614558636	0.0821645140139697	2.6294569898404436	2.710600193787646E-4	2.7106001937876465E-4	-5351.049221569708	0.0	-548.8718363089607
240000	-5931.168283253978	-578.5744834954012	-5352.593799758577	903.9333153102112	307.2943916963532	1105.0666846897889	1701.7056083036468	866.8429800098475	8.174550656360916	9.814609584829876	12.211432047222257	0.23415060335585433	0.2436397478550011	0.2620006651366191	0.26020898365252604	0.2883173524472854	0.4407719368734111	2.327341834226217	0.3794557013355995	0.07611436593386808	2.5444299327305315	2.9411157507282763E-4	2.9411157507282747E-4	-5352.593799758577	0.0	-545.4944319656564
250000	-5933.999205877858	-598.1088261304416	-5335.890379747417	1449.3840335241368	354.04249999636494	559.6159664758632	1654.957500003635	1124.5580772494159	8.85053388919585	2.3473779412938103	13.708329354453184	0.24768977795139924	0.23578408003120033	0.25191577182008956	0.26461037019731154	0.24471096507314283	0.4723425129506099	2.0307616238357884	0.3993711355964413	0.10088640644173308	2.499742457961826	2.092309318492128E-4	2.0923093184921295E-4	-5335.890379747417	0.0	-566.9789560362223
260000	-5935.82521221057	-599.3307858251898	-5336.4944263853795	1241.9531085662097	369.34533055968205	767.0468914337903	1639.654669440318	1273.5167667137423	7.815827166401417	3.280687212232192	12.948397160978397	0.2538395960534575	0.23213728666878278	0.2724089690442931	0.24161414823346725	0.22708582857604317	0.1397729161046629	2.4593990007692943	0.40076375222362426	0.10098788155485175	2.498248366221524	2.0805367937003666E-4	2.0805367937003672E-4	-5336.4944263853795	0.0	-567.99206619021
